1,0,0
0.99799,0.031712,-0.054927
0.99195,0.063296,-0.10963
0.98193,0.094626,-0.1639
0.96795,0.12557,-0.2175
0.95007,0.15602,-0.27023
0.92837,0.18583,-0.32187
0.90293,0.2149,-0.37221
0.87385,0.2431,-0.42106
0.84125,0.27032,-0.46821
0.80527,0.29645,-0.51347
0.76604,0.32139,-0.55667
0.72373,0.34504,-0.59763
0.67851,0.3673,-0.63618
0.63055,0.38807,-0.67216
0.58006,0.40729,-0.70544
0.52723,0.42486,-0.73588
0.47227,0.44073,-0.76336
0.41542,0.45482,-0.78776
0.35689,0.46707,-0.809
0.29692,0.47745,-0.82697
0.23576,0.48591,-0.84161
0.17365,0.4924,-0.85287
0.11084,0.49692,-0.86069
0.047582,0.49943,-0.86504
-0.015866,0.49994,-0.86592
-0.07925,0.49843,-0.8633
-0.14231,0.49491,-0.85721
-0.20481,0.4894,-0.84767
-0.26647,0.48192,-0.83471
-0.32707,0.4725,-0.81839
-0.38635,0.46118,-0.79878
-0.44407,0.448,-0.77595
-0.5,0.43301,-0.75
-0.55392,0.41628,-0.72103
-0.60561,0.39788,-0.68915
-0.65486,0.37787,-0.6545
-0.70147,0.35635,-0.61721
-0.74526,0.33338,-0.57744
-0.78605,0.30908,-0.53534
-0.82368,0.28353,-0.49109
-0.85798,0.25684,-0.44486
-0.88884,0.22911,-0.39684
-0.91611,0.20047,-0.34722
-0.93969,0.17101,-0.2962
-0.95949,0.14087,-0.24399
-0.97543,0.11016,-0.19079
-0.98744,0.079001,-0.13683
-0.99547,0.047528,-0.082321
-0.9995,0.015864,-0.027477
-0.9995,-0.015864,0.027477
-0.99547,-0.047528,0.082321
-0.98744,-0.079001,0.13683
-0.97543,-0.11016,0.19079
-0.95949,-0.14087,0.24399
-0.93969,-0.17101,0.2962
-0.91611,-0.20047,0.34722
-0.88884,-0.22911,0.39684
-0.85798,-0.25684,0.44486
-0.82368,-0.28353,0.49109
-0.78605,-0.30908,0.53534
-0.74526,-0.33338,0.57744
-0.70147,-0.35635,0.61721
-0.65486,-0.37787,0.6545
-0.60561,-0.39788,0.68915
-0.55392,-0.41628,0.72103
-0.5,-0.43301,0.75
-0.44407,-0.448,0.77595
-0.38635,-0.46118,0.79878
-0.32707,-0.4725,0.81839
-0.26647,-0.48192,0.83471
-0.20481,-0.4894,0.84767
-0.14231,-0.49491,0.85721
-0.07925,-0.49843,0.8633
-0.015866,-0.49994,0.86592
0.047582,-0.49943,0.86504
0.11084,-0.49692,0.86069
0.17365,-0.4924,0.85287
0.23576,-0.48591,0.84161
0.29692,-0.47745,0.82697
0.35689,-0.46707,0.809
0.41542,-0.45482,0.78776
0.47227,-0.44073,0.76336
0.52723,-0.42486,0.73588
0.58006,-0.40729,0.70544
0.63055,-0.38807,0.67216
0.67851,-0.3673,0.63618
0.72373,-0.34504,0.59763
0.76604,-0.32139,0.55667
0.80527,-0.29645,0.51347
0.84125,-0.27032,0.46821
0.87385,-0.2431,0.42106
0.90293,-0.2149,0.37221
0.92837,-0.18583,0.32187
0.95007,-0.15602,0.27023
0.96795,-0.12557,0.2175
0.98193,-0.094626,0.1639
0.99195,-0.063296,0.10963
0.99799,-0.031712,0.054927
1,-1.2246e-16,2.1212e-16
